,time,ztd_gnss,ztd_gnss_sigma,site
6751,2023-01-01,2418.8,3.4,1LSU
8360,2023-01-01,2416.0,2.6,1NSU
4447,2023-01-01,2423.1,2.3,1ULM
8664,2023-01-01,2210.8,2.9,7ODM
6284,2023-01-01,2405.1,2.2,AA01
3857,2023-01-01,2480.3,2.5,AAM1
1032,2023-01-01,2444.3,2.4,ACSB
4608,2023-01-01,2295.7,2.8,ACSO
7176,2023-01-01,2442.8,2.3,ACSX
3171,2023-01-01,1985.6,2.7,ADE5
6530,2023-01-01,2401.0,2.8,ADKS
3234,2023-01-01,2305.5,3.0,ADRI
576,2023-01-01,2019.7,2.3,AGMT
4440,2023-01-01,2372.8,2.6,AGNS
4824,2023-01-01,1849.6,2.6,AHID
7128,2023-01-01,2504.7,2.6,AID1
5609,2023-01-01,2371.4,2.3,AL10
2966,2023-01-01,2303.0,2.4,AL13
6696,2023-01-01,2385.8,2.4,AL15
72,2023-01-01,2383.3,2.3,AL23
4864,2023-01-01,2393.8,2.4,AL30
6030,2023-01-01,2395.5,2.3,AL35
4144,2023-01-01,2410.7,2.1,AL46
6273,2023-01-01,2379.2,2.2,AL4A
1306,2023-01-01,2409.8,2.3,AL50
48,2023-01-01,2431.9,2.3,AL60
861,2023-01-01,2403.0,2.4,AL62
8502,2023-01-01,2416.8,2.1,AL76
7827,2023-01-01,2427.8,2.4,AL81
8026,2023-01-01,2433.6,2.4,AL82
6264,2023-01-01,2423.7,2.3,AL83
2863,2023-01-01,2400.3,2.2,AL84
4947,2023-01-01,2419.7,2.2,AL92
1784,2023-01-01,2387.8,2.6,ALA1
1199,2023-01-01,2130.2,2.6,ALAM
4951,2023-01-01,2418.6,2.2,ALAN
6317,2023-01-01,2372.9,2.5,ALAS
3198,2023-01-01,2351.9,2.4,ALBE
5940,2023-01-01,2415.4,2.3,ALC1
7106,2023-01-01,2419.8,2.4,ALCE
1365,2023-01-01,2422.0,3.0,ALCH
1248,2023-01-01,2389.1,2.2,ALCL
1352,2023-01-01,2384.0,2.2,ALCN
8180,2023-01-01,2350.0,2.3,ALCU
2781,2023-01-01,2426.3,2.3,ALDO
1973,2023-01-01,2350.4,2.6,ALDS
5016,2023-01-01,2402.2,2.7,ALEF
4677,2023-01-01,2409.9,2.4,ALFA
4284,2023-01-01,2367.0,2.4,ALFL
5679,2023-01-01,2453.0,2.3,ALFO
7778,2023-01-01,2401.6,2.3,ALGR
5610,2023-01-01,2357.3,2.4,ALHC
6763,2023-01-01,2330.0,2.3,ALHL
5192,2023-01-01,2404.8,2.3,ALJA
7464,2023-01-01,2370.0,2.2,ALLA
7962,2023-01-01,2395.9,2.2,ALMJ
5937,2023-01-01,2411.0,2.2,ALNB
2098,2023-01-01,2181.5,2.6,ALPP
3021,2023-01-01,2407.5,2.8,ALRE
6863,2023-01-01,2431.6,2.3,ALSE
6064,2023-01-01,2361.4,2.3,ALSP
1286,2023-01-01,2394.5,2.3,ALTA
4170,2023-01-01,2438.2,3.2,ALTH
6406,2023-01-01,2399.6,2.3,ALTU
2855,2023-01-01,1871.3,2.5,AMC4
5856,2023-01-01,2254.1,2.6,ANGO
1776,2023-01-01,2316.9,2.5,APTN
2160,2023-01-01,2428.4,2.3,AR27
6576,2023-01-01,2402.2,2.3,AR53
1800,2023-01-01,2393.2,2.4,ARBT
1817,2023-01-01,2431.8,2.5,ARCM
8442,2023-01-01,2281.9,2.6,ARDH
8184,2023-01-01,2398.3,2.4,ARDQ
5304,2023-01-01,2304.0,2.5,ARFY
384,2023-01-01,2422.5,2.6,ARGS
5040,2023-01-01,2420.6,2.8,ARHP
3449,2023-01-01,2310.9,2.5,ARHR
7824,2023-01-01,2311.7,2.8,ARIA
1776,2023-01-01,2400.8,2.5,ARJB
3983,2023-01-01,2385.4,2.4,ARLI
