,site,lat,lon,alt,x,y,z,region
510,1LSU,30.4074,-91.18029999999999,-6.487,-113402.8795,-5504361.3939,3209404.2335,us
518,1NSU,31.7508,-93.0976,28.071,-293349.5323,-5420742.3561,3336980.8353,us
537,1ULM,32.529,-92.07589999999999,16.0,-194982.0141,-5379221.9515,3410046.833,us
645,7ODM,34.1164,-117.09320000000002,762.072,-2407750.878,-4706536.7233,3557571.3926,us
661,AA01,43.6728,-71.48630000000003,219.938,1467257.4945,-4381679.9259,4382016.195,us
665,AAM1,39.9969,-76.0899,105.929,1176280.0032,-4749519.91,4077786.66,us
890,ACSB,33.2743,-117.44489999999996,-12.296,-2460183.5738,-4737087.498,3479422.7215,us
891,ACSO,40.2324,-82.98149999999998,248.174,595828.2307,-4839733.9168,4097876.5926,us
892,ACSX,33.2743,-117.44489999999996,-12.291,-2460183.6467,-4737087.4397,3479422.7579,us
912,ADE5,42.1765,-119.89589999999998,1385.624,-2359985.9923,-4104826.2498,4261083.8156,us
920,ADKS,29.791,-95.58640000000003,2.831,-539282.7289,-5513496.8493,3150287.2103,us
928,ADRI,41.919,-84.02429999999998,205.96,494838.1799,-4727340.1263,4239050.3237,us
970,AGMT,34.5943,-116.42939999999999,1337.823,-2339956.2015,-4707748.8375,3601666.0835,us
974,AGNS,42.5528,-124.0591,51.368,-2635435.8109,-3898512.0425,4291069.0522,us
989,AHID,42.7731,-111.06370000000004,1975.542,-1685815.5334,-4377138.7412,4310376.0931,us
996,AID1,39.3219,-76.5036,-2.877,1153099.2093,-4804317.6422,4020021.7541,us
1051,AL10,34.435,-86.26819999999998,167.154,342762.1169,-5255095.5026,3586441.7388,us
1052,AL13,34.6035,-85.93079999999998,387.575,372964.4569,-5242597.8971,3601972.5542,us
1053,AL15,33.9903,-86.07960000000003,142.783,361955.5283,-5281593.201,3545629.8215,us
1055,AL23,34.1486,-87.9536,141.185,188688.1884,-5280771.7458,3560176.8037,us
1057,AL30,33.5324,-86.85340000000002,148.522,292139.8916,-5314188.1607,3503407.902,us
1058,AL35,33.1651,-86.7568,146.342,302364.2331,-5336041.5313,3469382.6792,us
1060,AL46,32.3257,-85.16059999999999,117.366,455137.4269,-5375699.2366,3391067.3955,us
1061,AL4A,32.9621,-86.0068,208.665,373044.9976,-5343933.1353,3450546.3149,us
1062,AL50,33.168,-87.50150000000002,97.932,232977.8123,-5339307.0876,3469621.2153,us
1064,AL60,32.4114,-86.27050000000003,44.76,350579.9721,-5378369.9145,3399054.078,us
1065,AL62,32.1482,-85.6868,140.814,406538.584,-5390144.1192,3374427.55,us
1067,AL76,31.875,-85.22570000000002,100.122,451235.163,-5402665.0981,3348720.7104,us
1068,AL81,32.5757,-88.18180000000001,21.109,170701.2209,-5377264.7444,3414412.9187,us
1069,AL82,32.2574,-87.62580000000003,25.767,223651.3992,-5394263.1381,3384621.1689,us
1070,AL83,31.9946,-87.33330000000001,44.28,251909.6622,-5408547.1625,3359951.2008,us
1071,AL84,31.7004,-87.7892,111.475,209536.5387,-5427642.0712,3332268.8118,us
1073,AL92,30.9164,-87.77569999999997,60.935,212564.7468,-5472685.2976,3257975.7046,us
1074,ALA1,32.5989,-85.50389999999999,184.104,421642.7977,-5362176.5495,3416663.326,us
1080,ALAM,37.358,-115.1585,1090.005,-2158287.5105,-4595239.5485,3849706.7276,us
1081,ALAN,31.3074,-86.48399999999998,85.275,334509.404,-5444166.2112,3295102.8279,us
1083,ALAS,33.667,-85.83069999999998,203.136,386348.3584,-5299929.4604,3515878.0717,us
1094,ALBE,34.4754,-87.8646,226.453,196138.4369,-5260118.2601,3590172.8887,us
1102,ALC1,33.2623,-88.09539999999998,57.948,177431.6461,-5335675.4465,3478349.676,us
1109,ALCE,32.946,-87.1506,56.237,266336.5636,-5351156.7004,3448966.1772,us
1110,ALCH,31.451,-88.1959,22.84,171456.9299,-5443389.2117,3308664.4738,us
1112,ALCL,32.8399,-86.62979999999999,167.657,315346.4567,-5354985.4475,3439149.141,us
1113,ALCN,34.1631,-85.65859999999998,164.908,399936.6007,-5268100.7054,3561518.8532,us
1115,ALCU,34.1799,-86.8449,222.83,290732.7505,-5274252.7147,3563095.2305,us
1121,ALDO,31.2395,-85.4402,79.689,433935.5194,-5441059.8114,3288666.4898,us
1123,ALDS,34.1482,-87.4049,226.256,239260.4359,-5278817.5716,3560187.8691,us
1126,ALEF,29.6918,-95.63510000000002,5.592,-544498.9092,-5518464.5912,3140747.0629,us
1130,ALFA,33.6852,-87.82929999999999,89.179,201229.5772,-5308965.3964,3517495.8633,us
1132,ALFL,34.8975,-87.79719999999998,160.533,201295.753,-5233205.3723,3628633.9528,us
1133,ALFO,30.417,-87.67509999999999,3.03,223318.0717,-5500471.2912,3210320.3244,us
1140,ALGR,31.829,-86.61739999999998,114.951,320040.6886,-5414728.3358,3344399.6461,us
1144,ALHC,33.5237,-85.63490000000002,256.558,405133.2686,-5307389.7775,3502670.9271,us
1145,ALHL,33.8876,-86.39800000000002,330.739,333010.125,-5290024.3382,3536286.5089,us
1155,ALJA,33.8319,-87.2776,84.303,251912.9815,-5297746.6459,3531019.6421,us
1160,ALLA,32.9174,-85.40050000000002,237.154,429792.088,-5342396.8315,3446401.7582,us
1170,ALMJ,31.029,-88.22969999999998,70.115,168990.3767,-5467784.7985,3268683.4802,us
1175,ALNB,31.3775,-85.916,106.902,388167.5975,-5436568.1694,3301753.7491,us
1185,ALPP,34.8245,-118.69479999999999,918.073,-2517069.6931,-4598513.0017,3622424.5136,us
1187,ALRE,31.4113,-87.23419999999999,85.245,262901.9681,-5442090.3528,3304942.062,us
1193,ALSE,32.4474,-87.0118,29.748,280860.6153,-5380301.8056,3402419.9779,us
1195,ALSP,34.4181,-87.17200000000003,173.807,259874.8712,-5260913.5841,3584897.746,us
1199,ALTA,33.4235,-86.12119999999999,148.589,360477.8072,-5316665.5562,3493337.5549,us
1201,ALTH,36.8896,-120.66980000000001,18.788,-2605214.3921,-4392960.6279,3807613.1334,us
1203,ALTU,31.8002,-85.95429999999999,141.122,382806.2767,-5412364.6696,3341697.4647,us
1212,ALWB,30.4157,-87.82650000000001,-23.364,208782.4535,-5501089.7626,3210187.2312,us
1237,AMC4,38.8031,-104.52459999999996,1911.388,-1248596.4018,-4819428.2044,3976505.9291,us
1275,AMTS,41.7419,-70.6175,-17.838,1581747.2328,-4495996.7463,4224243.306,us
1318,ANGO,45.1138,-89.16300000000001,418.327,65868.5903,-4508451.1678,4496580.8065,us
1398,APTN,44.2831,-88.4597,212.386,122939.5318,-4572068.7572,4430813.4635,us
1407,AR27,33.3418,-117.32490000000001,32.301,-2448387.7583,-4738604.2158,3485711.6047,us
1408,AR53,33.3811,-117.47649999999999,111.04,-2459839.8042,-4730042.9265,3489394.2601,us
1425,ARBT,35.7099,-91.62849999999997,91.978,-147353.9749,-5182834.631,3702154.3785,us
1438,ARCM,33.5424,-92.8827,25.543,-267628.1824,-5314759.4904,3504269.4104,us
1448,ARDH,45.1075,-93.17989999999998,253.133,-250137.4888,-4502369.8581,4495968.4873,us
1451,ARDQ,34.0801,-94.32369999999997,147.636,-398698.7105,-5273357.2557,3553890.6409,us
1464,ARFY,36.1158,-94.18,349.603,-376023.4749,-5144995.6601,3738785.1491,us
1470,ARGS,34.0682,-93.11619999999999,69.334,-287518.4906,-5281261.1994,3552754.4063,us
1472,ARHP,33.6961,-93.60059999999999,84.484,-333601.0133,-5301621.2679,3518493.8668,us
1473,ARHR,36.1842,-93.03019999999998,332.327,-272465.1386,-5147017.5567,3744907.474,us
1475,ARIA,44.2401,-91.5113,208.787,-120718.4237,-4575460.3398,4427390.0796,us
1481,ARJB,35.8479,-90.74720000000002,61.797,-67497.6353,-5175508.7,3714563.6489,us
1489,ARLI,48.1741,-122.14189999999996,23.286,-2267101.5375,-3608210.8837,4729822.7494,us
1493,ARLR,34.6726,-92.38260000000002,73.224,-218301.6716,-5246693.4162,3608099.4873,us
1494,ARM1,35.2013,-118.91039999999998,76.817,-2522429.755,-4567409.6426,3656178.1572,us
1495,ARM2,35.2013,-118.91059999999999,76.813,-2522440.2542,-4567403.2749,3656178.8568,us
1496,ARM3,36.3692,-92.37310000000002,227.718,-212916.3827,-5137582.7507,3761395.8748,us
1503,ARML,35.9173,-89.80290000000002,50.033,17789.9923,-5171398.1673,3720791.787,us
1504,ARMO,33.5946,-91.8132,52.671,-168277.3064,-5315654.5289,3509104.5767,us
1516,ARPB,34.1936,-91.9142,36.045,-176409.7921,-5278300.4763,3564252.7498,us
1518,ARPG,36.0591,-90.5188,68.42,-46741.175,-5161984.2988,3733536.516,us
1525,ARRV,35.3063,-93.1309,89.787,-284610.9477,-5203157.0813,3665701.8583,us
1550,ARWY,35.2532,-90.8014,54.765,-72933.4073,-5213798.5478,3660873.3519,us
1555,ASBU,43.8206,-121.36850000000004,1508.865,-2399895.2394,-3936523.5143,4394773.1393,us
1561,ASCS,42.2553,-77.79700000000003,549.744,999466.8639,-4621545.4359,4267004.8912,us
1569,ASHW,44.4792,-88.07600000000002,159.332,153044.3906,-4555873.5061,4446349.2279,us
1575,ASND,46.5521,-90.91399999999999,221.037,-70093.7714,-4393559.4596,4607828.6434,us
1595,ASUB,36.2141,-81.68189999999998,956.646,745449.0985,-5098561.8027,3747953.1049,us
1651,AUBN,41.366,-85.05439999999999,243.332,413289.7471,-4776162.568,4193173.54,us
1663,AULT,29.9978,-95.74470000000002,25.764,-553367.7751,-5500637.9531,3170172.6801,us
1712,AVCA,43.0609,-82.6877,200.481,594062.0431,-4629522.4569,4332585.3762,us
1728,AVO6,27.5952,-81.52499999999998,20.222,833662.3848,-5594887.6316,2936835.1994,us
1734,AVRY,34.4683,-117.154,888.917,-2402751.4458,-4684501.9141,3589896.4936,us
1737,AWES,30.1003,-90.983,-10.312,-94742.0342,-5521868.8053,3179990.0508,us
1748,AZ3P,32.0856,-111.29239999999999,745.69,-1964392.2782,-5040391.4824,3368869.4854,us
1750,AZAJ,33.4146,-111.5566,493.201,-1958244.2414,-4956914.6445,3492705.4375,us
1751,AZAM,31.73,-111.07140000000004,928.938,-1952484.4765,-5067522.2897,3335496.2051,us
1754,AZBE,31.9453,-110.3347,1236.076,-1882884.2557,-5080639.3358,3355944.5468,us
1755,AZBH,35.1075,-114.60500000000002,151.685,-2174939.952,-4749388.7934,3647716.5937,us
1757,AZBR,32.259,-110.8014,758.395,-1917501.2409,-5047473.5382,3385156.6808,us
1760,AZCA,32.5014,-110.92679999999996,932.581,-1923453.8457,-5029956.7507,3407950.5931,us
1762,AZCG,32.8799,-111.72800000000001,406.794,-1985039.9747,-4981093.7345,3443000.9937,us
1763,AZCH,33.3803,-111.84800000000001,349.006,-1984160.3048,-4948724.8503,3489449.3325,us
1764,AZCK,33.8324,-111.94380000000001,644.821,-1982149.5909,-4919884.292,3531379.5848,us
1769,AZDG,31.3453,-109.55340000000001,1192.721,-1825103.3843,-5138708.3822,3299268.8118,us
1771,AZDT,31.9604,-110.77120000000002,992.657,-1921143.881,-5065128.0272,3357235.5076,us
1776,AZGA,32.9473,-112.71479999999997,198.558,-2068893.3389,-4942261.744,3449161.9726,us
1777,AZGB,33.3954,-110.7715,1097.83,-1890727.9312,-4984856.422,3491254.6182,us
1779,AZGE,33.4535,-112.3544,278.078,-2026094.2293,-4926809.6207,3496182.6058,us
1781,AZGL,33.4431,-110.8331,958.551,-1895013.8312,-4979984.7995,3495596.5514,us
